,Unnamed: 0,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,coordinates
159,774,South End CHC,South End,02118,60,2,58,54.0,0.0,54.0,6,2,4.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
160,790,St John of God - Market & Clergy,Brighton,02135,92,8,84,84.0,0.0,84.0,8,8,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
161,796,Stanwood Homes - Home Again,Dorchester,02121,19,7,12,0.0,0.0,0.0,19,7,12.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
162,797,Stille (VUP),South Boston,02127,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
163,803,Sullivan (VUP),Dorchester,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"(<NA>, <NA>)"
164,815,Suppressed18,Dorchester,02122,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,"(<NA>, <NA>)"
165,816,Suppressed19,Dorchester,02122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"(<NA>, <NA>)"
166,818,Suppressed20,Dorchester,02125,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"(<NA>, <NA>)"
167,819,Suppressed21,South End,02118,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"(<NA>, <NA>)"
168,821,Suppressed23,Dorchester,02124,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,"(<NA>, <NA>)"
169,822,Suppressed24,Dorchester,02124,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,"(<NA>, <NA>)"
170,826,Suppressed28,Jamaica Plain,02130,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"(<NA>, <NA>)"
171,827,Suppressed29,Mattapan,02126,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"(<NA>, <NA>)"
172,836,Suppressed4,Dorchester,02125,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,Y,"(<NA>, <NA>)"
173,838,Suppressed6,West Roxbury,02132,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,"(<NA>, <NA>)"
