,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
509,Lowell Square,West End,02114,183,183,0,0.0,0.0,0.0,183,183,0.0,Rental,Private,,Y
510,Lower Mills (2-57),Dorchester,02124,178,178,0,0.0,0.0,0.0,178,178,0.0,Rental,Public,Y,Y
511,Lower Roxbury Tenant Corp,Roxbury,02120,70,70,0,17.0,17.0,0.0,53,53,0.0,Rental,Private,,
512,Lucerne Gardens,Dorchester,02124,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,Y
513,Lucky Strike Residential Project,Dorchester,02122,22,3,19,19.0,0.0,19.0,3,3,0.0,Ownership/Rental,Private,,
514,Luis (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
515,Lumen,Charlestown,02129,30,0,30,26.0,0.0,26.0,4,0,4.0,Ownership,Private,,
516,Lyman School Apts for the Elderly,East Boston,02128,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,Y,Y
517,M Walsh (VUP),Dorchester,02122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
518,M.E. McCormack (2-23),South Boston,02127,1016,1016,0,0.0,0.0,0.0,1016,1016,0.0,Rental,Public,,
519,M.L. King Apartments (2-40),Roxbury,02119,104,104,0,2.0,2.0,0.0,102,102,0.0,Rental,Public,Y,
520,M.R. Smith (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
521,Madison Melnea Cass Apts,Roxbury,02119,76,76,0,4.0,4.0,0.0,72,72,0.0,Rental,Public/Private,,
522,Madison Parcel 10 Bldg C (Belvidere/Dalton East Offsite),Roxbury,02119,30,30,0,9.0,9.0,0.0,21,21,0.0,Rental,Private,,
523,Madison Park III,Roxbury,02120,120,120,0,0.0,0.0,0.0,120,120,0.0,Rental,Private,,Y
524,Madison Park IV,Roxbury,02119,143,143,0,0.0,0.0,0.0,143,143,0.0,Rental,Private,,
525,Main Street Townhouses,Charlestown,02129,26,0,26,16.0,0.0,16.0,10,0,10.0,Ownership,Private,,
526,MainStay House,Charlestown,02129,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,
527,Malone Apts (2-89C),Hyde Park,02136,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Public,Y,
528,Mandela Homes,Roxbury,02118,276,276,0,0.0,0.0,0.0,276,276,0.0,Rental,Private,,Y
529,Manganello (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
530,Maple Commons,Roxbury,02119,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,,
531,Marcus Garvey Gardens,Roxbury,02119,161,161,0,0.0,0.0,0.0,161,161,0.0,Rental,Private,Y,Y
532,Marksdale Gardens I&II,Roxbury,02121,178,178,0,0.0,0.0,0.0,178,178,0.0,Cooperative,Private,,Y
533,Marriro (VUP) CDFI,Roxbury,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
534,Martinex-Alamo (VUP),Roxbury,02125,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
535,Mary Colbert Apartments,Charlestown,02129,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,Y,Y
536,Mason Place,Downtown,02111,128,128,0,0.0,0.0,0.0,128,128,0.0,Rental,Private,Y,Y
537,Mass Pike Towers,Chinatown,02116,200,200,0,0.0,0.0,0.0,200,200,0.0,Rental,Private,,Y
538,Mattapan Apartments,Dorchester,02122,183,183,0,0.0,0.0,0.0,183,183,0.0,Rental,Private,,Y
539,Mattapan Center for Life,Mattapan,02126,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,Y,
540,Mattapan Heights I AKA: The Foley,Mattapan,02126,176,176,0,24.0,24.0,0.0,152,152,0.0,Rental,Private,Y,
541,Mattapan Heights II,Mattapan,02126,83,83,0,0.0,0.0,0.0,83,83,0.0,Rental,Private,,
542,Mattapan Heights III & IV,Mattapan,02126,73,73,0,0.0,0.0,0.0,73,73,0.0,Rental,Private,,
543,MAVERICK GARDENS I,East Boston,02128,150,150,0,0.0,0.0,0.0,150,150,0.0,Rental,Private,,
544,Maverick Landing (2-8),East Boston,02128,396,396,0,91.0,91.0,0.0,305,305,0.0,Rental,Private,,
545,McCrohon House - HEARTH (SPO),Jamaica Plain,02130,16,16,0,1.0,1.0,0.0,15,15,0.0,Rental,Private,,
546,Mei Wah Village,Chinatown,02111,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,
547,Mendes (VUP),Dorchester,02125,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
548,Meranda (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
549,Mercantile Building,North End,02109,122,122,0,74.0,74.0,0.0,48,48,0.0,Rental,Private,,Y
550,Meridian House,East Boston,02128,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
551,Meridian St,East Boston,02128,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,
552,Methunion Manor Coop,South End,02116,149,149,0,0.0,0.0,0.0,149,149,0.0,Rental,Private,,Y
553,Mezzo Design Lofts,Charlestown,02129,146,0,146,131.0,0.0,131.0,15,0,15.0,Ownership,Private,,
554,MHPI Community Apartments,Mission Hill,02120,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
555,MHPI II,Jamaica Plain,02130,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,
556,MHPI III,Jamaica Plain,02130,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
557,MHPI IV-A,Jamaica Plain,02130,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y
558,MHPI IV-B,Roxbury,02119,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y
